n;sexomf;idade78;idade;peso;altura;tipomochila;carrmochila;escollado;;;;;;;;
101;F;8;8,67;26,4;1,295;C;4;D;;;;;;;;
102;F;8;8,67;31,8;1,312;L;3;D;;;;;;;;
103;F;8;8,58;23,1;1,222;E;1;E;;;;;;;;
104;F;8;8;21,7;1,212;C;5;E;;;;;;;;
105;F;8;8,08;22,5;1,225;E;1;E;;;;;;;;
106;F;8;8,25;22,7;1,254;C;4;A;;;;;;;;
107;F;8;8,33;19,2;1,17;E;1;D;;;;;;;;
108;F;8;7,92;30,1;1,32;E;1;E;;;;;;;;
109;F;8;8,25;33,7;1,358;E;1;A;;;;;;;;
110;F;8;8;20,1;1,194;E;1;E;;;;;;;;
111;F;8;8,5;28,4;1,343;L;3;A;;;;;;;;
112;F;8;7,92;24,8;1,28;C;5;E;;;;;;;;
113;F;8;8,5;20,6;1,243;E;1;A;;;;;;;;
114;F;8;8,67;28,7;1,313;E;1;E;;;;;;;;
115;F;8;8,58;24,2;1,303;E;1;D;;;;;;;;
116;F;8;8,42;27,2;1,295;C;4;D;;;;;;;;
117;F;8;8,17;21,6;1,259;E;1;E;;;;;;;;
118;F;8;8,5;29,6;1,278;E;1;E;;;;;;;;
119;F;8;8,58;24,2;1,232;L;3;E;;;;;;;;
120;F;8;7,75;27,8;1,29;E;1;E;;;;;;;;
121;F;8;8,25;21,6;1,195;E;1;E;;;;;;;;
122;F;8;8,67;24,5;1,299;E;1;A;;;;;;;;
123;F;8;8,17;29,1;1,305;L;3;E;;;;;;;;
124;F;8;8,67;25,6;1,261;L;6;E;;;;;;;;
126;F;8;8,67;27,9;1,335;E;1;E;;;;;;;;
127;F;8;8;22,1;1,177;E;1;E;;;;;;;;
128;F;8;8,5;29,5;1,315;E;1;A;;;;;;;;
129;F;8;8,25;29,3;1,277;E;1;E;;;;;;;;
130;F;8;8,58;26,5;1,313;L;3;E;;;;;;;;
131;M;7;7,5;23,2;1,26;E;4;A;;;;;;;;
132;M;7;7,25;24,9;1,27;E;1;A;;;;;;;;
133;M;7;7,42;20,5;1,2;C;4;A;;;;;;;;
134;M;7;7,17;29,3;1,293;E;1;E;;;;;;;;
135;M;7;7,17;23,9;1,23;C;5;D;;;;;;;;
136;M;7;7,08;23,3;1,172;E;1;E;;;;;;;;
137;M;7;7,17;24,6;1,256;E;1;A;;;;;;;;
138;M;7;7;24,7;1,292;L;3;D;;;;;;;;
139;M;7;7,08;20,6;1,187;C;4;E;;;;;;;;
140;M;7;6,92;24,5;1,295;E;1;D;;;;;;;;
141;M;7;7,25;24,7;1,293;E;1;E;;;;;;;;
142;M;7;6,92;21,4;1,205;E;6;D;;;;;;;;
144;M;7;7,08;23,9;1,263;E;1;E;;;;;;;;
145;M;7;7,33;17,8;1,126;E;1;E;;;;;;;;
146;M;7;7,17;23,8;1,236;L;3;D;;;;;;;;
147;M;7;7,42;23,3;1,28;C;4;D;;;;;;;;
148;M;7;7,5;24,7;1,215;E;1;E;;;;;;;;
149;M;7;7,67;20,3;1,255;L;3;D;;;;;;;;
150;M;7;7,5;21,5;1,275;E;1;E;;;;;;;;
151;M;7;7;26,7;1,36;E;1;E;;;;;;;;
152;M;7;7,58;24,4;1,258;E;1;D;;;;;;;;
153;M;7;6,75;21,6;1,19;E;1;D;;;;;;;;
154;M;7;7,58;23,2;1,243;C;5;E;;;;;;;;
155;M;7;7,5;22,3;1,252;C;4;D;;;;;;;;
156;M;7;7,42;23;1,255;C;4;E;;;;;;;;
157;M;7;7,5;24,8;1,25;C;4;E;;;;;;;;
158;M;7;6,83;20,5;1,14;E;1;E;;;;;;;;
159;M;7;7,25;21,5;1,198;E;2;E;;;;;;;;
160;M;7;6,92;21,8;1,237;C;4;E;;;;;;;;
161;M;7;6,75;23,1;1,309;E;1;E;;;;;;;;
162;M;7;6,75;19,2;1,168;E;1;E;;;;;;;;
163;M;7;7,25;21,5;1,211;E;1;D;;;;;;;;
164;M;7;7,08;24,7;1,239;C;4;E;;;;;;;;
165;M;7;7,67;26,1;1,268;E;1;E;;;;;;;;
166;M;7;7,25;21,9;1,153;C;4;E;;;;;;;;
167;M;7;7,25;26,6;1,29;E;1;E;;;;;;;;
168;M;7;6,75;24,7;1,237;C;4;D;;;;;;;;
169;M;7;7,58;28,7;1,274;E;1;A;;;;;;;;
170;M;7;7,33;18,9;1,198;C;5;E;;;;;;;;
171;M;7;7,42;27,3;1,259;E;3;E;;;;;;;;
172;M;7;7,58;20,3;1,13;L;2;E;;;;;;;;
173;M;7;7,08;31,4;1,361;E;6;E;;;;;;;;
175;M;7;7,33;25,2;1,223;E;1;E;;;;;;;;
176;M;7;7,42;26,7;1,275;C;4;A;;;;;;;;
177;M;7;7,17;22,3;1,231;E;1;E;;;;;;;;
178;M;7;7,42;30,5;1,296;E;1;E;;;;;;;;
179;M;7;7;25;1,22;E;1;E;;;;;;;;
180;M;8;8,66;26,5;1,245;C;4;D;;;;;;;;
181;M;8;8;21,6;1,263;E;1;D;;;;;;;;
182;M;8;8,08;33;1,38;C;4;D;;;;;;;;
183;M;8;8,08;27,3;1,293;E;1;E;;;;;;;;
184;M;8;8,58;24,5;1,266;C;4;D;;;;;;;;
185;M;8;8,25;25,1;1,255;E;1;D;;;;;;;;
186;M;8;8,08;24,1;1,278;E;1;E;;;;;;;;
187;M;8;7,83;27,9;1,251;C;4;D;;;;;;;;
188;M;8;7,92;22;1,237;E;2;D;;;;;;;;
189;M;8;8,08;21,1;1,308;C;5;E;;;;;;;;
190;M;8;8,67;29,8;1,355;C;4;D;;;;;;;;
191;M;8;8,08;30,9;1,335;E;1;E;;;;;;;;
192;M;8;8,58;28,3;1,29;E;1;E;;;;;;;;
193;M;8;7,75;23,1;1,275;E;1;E;;;;;;;;
194;M;8;8,67;21,3;1,165;E;1;D;;;;;;;;
195;M;8;8,08;26,6;1,315;C;4;D;;;;;;;;
196;M;8;8,08;31,2;1,325;E;1;D;;;;;;;;
197;M;8;8,33;24,6;1,24;C;4;D;;;;;;;;
198;M;8;8,58;25,3;1,244;E;1;E;;;;;;;;
199;M;8;8,33;29,3;1,265;E;1;E;;;;;;;;
200;M;8;8,33;30,9;1,34;E;1;E;;;;;;;;
201;M;8;7,75;23,3;1,283;E;1;E;;;;;;;;
202;M;8;8,33;28;1,308;E;1;D;;;;;;;;
203;M;8;8,33;28,8;1,29;E;1;D;;;;;;;;
